Label,XPath,Strategy,Matches,Action,Value
firstName,"//*[@id=""firstName""]",id,1,click,
firstName,"//*[@id=""firstName""]",id,1,change,AJAYM
email,"//*[@id=""email""]",id,1,click,
email,"//*[@id=""email""]",id,1,change,DIFAASYID128@OKEXBIT.COM
middleName,"//*[@id=""middleName""]",id,1,click,
middleName,"//*[@id=""middleName""]",id,1,change,M
mobileNumber,"//*[@id=""mobileNumber""]",id,1,click,
mobileNumber,"//*[@id=""mobileNumber""]",id,1,change,741-2589
lastName,"//*[@id=""lastName""]",id,1,click,
lastName,"//*[@id=""lastName""]",id,1,change,CHANDRAN
Choose an option,"//*[@data-testid=""dropdown-button""]",data-testid,1,click,
FIRST CITIZENS BANK,"//*[@data-testid=""option-0""]",data-testid,1,click,
Add profile picture,"//*[@data-testid=""button"" and contains(., ""Add profile picture"")]",data-testid+text,1,click,
Upload,"//*[@data-testid=""upload-button""]",data-testid,1,click,
file-upload,"//*[@id=""file-upload""]",id,1,click,
file-upload,"//*[@id=""file-upload""]",id,1,change,C:\fakepath\Screenshot 2026-01-27 at 1.02.56 PM.png
Save & Continue,"//*[@data-testid=""button"" and contains(., ""Save & Continue"")]",data-testid+text,1,click,
otp-input-0,"//*[@id=""otp-input-0""]",id,1,click,
otp-input-0,"//*[@id=""otp-input-0""]",id,1,change,1
otp-input-1,"//*[@id=""otp-input-1""]",id,1,change,2
otp-input-2,"//*[@id=""otp-input-2""]",id,1,change,1
otp-input-3,"//*[@id=""otp-input-3""]",id,1,change,2
otp-input-4,"//*[@id=""otp-input-4""]",id,1,change,1
otp-input-5,"//*[@id=""otp-input-5""]",id,1,change,2
Verify OTP,"//*[@data-testid=""submit-button""]",data-testid,1,click,
Select File,"//*[@data-testid=""file-upload-label""]",data-testid,1,click,
upload-front-input,"//*[@id=""upload-front-input""]",id,1,click,
upload-front-input,"//*[@id=""upload-front-input""]",id,1,change,C:\fakepath\FlowBill.jpg
Continue,"//*[@data-testid=""continue-button""]",data-testid,1,click,
POSTGRADUATE DEGREE,"//*[@data-testid=""option-1""]",data-testid,1,click,
Upload Back of ID,"//*[@data-testid=""file-upload-back-label""]",data-testid,1,click,
upload-back-input,"//*[@id=""upload-back-input""]",id,1,click,
upload-back-input,"//*[@id=""upload-back-input""]",id,1,change,C:\fakepath\DAVID_N_B.png
Choose an option,/html/body/div[1]/div[1]/div[1]/div[2]/div[2]/div[1]/div[1]/div[1]/div[1]/div[3]/div[1]/div[1]/button[1],absolute,1,click,
mailingCity,"//*[@id=""mailingCity""]",id,1,click,
mailingCity,"//*[@id=""mailingCity""]",id,1,change,TRINCITY
div,/html/body/div[1]/div[1]/div[1]/div[2]/div[2]/div[1]/div[1]/div[1]/div[1]/div[4]/div[2]/div[1]/label[1]/div[1]/div[1],absolute,1,click,
permanentAddressSameAsMailing,/html/body/div[1]/div[1]/div[1]/div[2]/div[2]/div[1]/div[1]/div[1]/div[1]/div[4]/div[2]/div[1]/label[1]/input[1],absolute,1,click,
permanentAddressSameAsMailing,/html/body/div[1]/div[1]/div[1]/div[2]/div[2]/div[1]/div[1]/div[1]/div[1]/div[4]/div[2]/div[1]/label[1]/input[1],absolute,1,change,true
div,/html/body/div[1]/div[1]/div[1]/div[2]/div[2]/div[1]/div[1]/div[1]/div[1]/div[4]/div[3]/div[2]/div[1]/label[1]/div[1]/div[1],absolute,1,click,
utilityDocOption,/html/body/div[1]/div[1]/div[1]/div[2]/div[2]/div[1]/div[1]/div[1]/div[1]/div[4]/div[3]/div[2]/div[1]/label[1]/input[1],absolute,1,click,
utilityDocOption,/html/body/div[1]/div[1]/div[1]/div[2]/div[2]/div[1]/div[1]/div[1]/div[1]/div[4]/div[3]/div[2]/div[1]/label[1]/input[1],absolute,1,change,true
Save and Continue,"//*[@data-testid=""save-and-continue-button""]",data-testid,1,click,
svg,/html/body/div[1]/div[1]/div[1]/div[2]/div[2]/div[1]/div[1]/div[1]/div[2]/div[1]/div[1]/div[1]/div[1]/button[1]/span[2]/svg[1],absolute,0,click,
Select Employer,"//*[@data-testid=""dropdown-button"" and contains(., ""Select Employer"")]",data-testid+text,1,click,
svg,/html/body/div[1]/div[1]/div[1]/div[2]/div[2]/div[1]/div[1]/div[1]/div[2]/div[1]/div[1]/div[4]/div[1]/div[1]/div[1]/div[1]/div[2]/button[1]/svg[1],absolute,0,click,
:rt:-year,"//*[@id="":rt:-year""]",id,1,click,
svg,/html/body/div[3]/div[2]/div[1]/div[1]/div[1]/div[1]/div[1]/button[1]/svg[1],absolute,0,click,
1999,"//*[@role=""radio"" and contains(., ""1999"")]",role+text,1,click,
1,/html/body/div[3]/div[2]/div[1]/div[1]/div[1]/div[2]/div[1]/div[1]/div[2]/div[1]/div[1]/button[1],absolute,1,click,
occupation,"//*[@id=""occupation""]",id,1,click,
occupation,"//*[@id=""occupation""]",id,1,change,ENGINEER
Choose sector,"//*[@data-testid=""dropdown-button"" and contains(., ""Choose sector"")]",data-testid+text,1,click,
Choose Employment Type,"//*[@data-testid=""dropdown-button"" and contains(., ""Choose Employment Type"")]",data-testid+text,1,click,
employerAddressLine1,"//*[@id=""employerAddressLine1""]",id,1,click,
employerAddressLine1,"//*[@id=""employerAddressLine1""]",id,1,change,1 NORTHAM ROAD
employerCity,"//*[@id=""employerCity""]",id,1,click,
employerCity,"//*[@id=""employerCity""]",id,1,change,TRINCITY
Choose Country,"//*[@data-testid=""dropdown-button"" and contains(., ""Choose Country"")]",data-testid+text,1,click,
workPhoneNo,"//*[@id=""workPhoneNo""]",id,1,click,
workPhoneNo,"//*[@id=""workPhoneNo""]",id,1,change,325-6987
Choose an option,"//*[@data-testid=""dropdown-button"" and contains(., ""Choose an option"")]",data-testid+text,1,click,
